1821	Rehabilitation Clerk
2452	Plugger Worker
7465	Dietary Aide
4860	Olericulture Professor
3038	Leather Products Supervisor
-1	Crime Victim Specialist
9555	E-Commerce Sales Specialist
-1	Hand Collator
4318	Cotton Puller
2023	String Top Sealer
6153	Computer Help Desk Representative (Computer Help Desk Rep)
-1	Cosmetics Presser
-1	Heat Plant Specialist
1234	Lehr Operator
-1	Mortgage Accounting Clerk
6509	Search Engineer Marketing Specialist
3448	Digital Tech (Digital Technician)
7430	ESL Tutor (English as a Second Language Tutor)
-1	Hide House Supervisor
4744	Flower Designer
-1	Production Cook
8159	Mine Safety and Health Inspector
8889	Residential Housekeeper
-1	Piece Worker
-1	Beam Carrier, Hauler, Pusher
6402	Television Audio Engineer
-1	Radio Tower Technician (Radio Tower Tech)
7661	Town Treasurer
-1	Network Security Engineer
-1	Industrial Chemistry Teacher
5029	Food and Nutrition Professor
3479	Glass Inspector
-1	Material Requirements Planner (MRP)
6623	Hydroelectric Station Supervisor (Hydro Station Supervisor)
-1	Ore Crusher
-1	TNT Powder Worker
-1	Plate Glass Polisher
4227	Collection Specialist
9410	Pre-School Teacher
-1	Cocoa Butter Filter Operator
566	Cooler Case Picker
-1	Railroad Baggage Porter
8434	Agriculture Farmer
855	Level Vial Marker
7669	Foreign Legal Consultant
-1	Quality Control Director (QC Director)
-1	Segmental Wall Installer
5741	Terrazzo Finisher Helper
7395	Robot Technician
7749	Education Consultant
76	Nut Cracker
9433	Ethnology Professor
-1	Warper Tender
9405	Psychology Adjunct Instructor
4351	Men's Furnishings Salesperson
4132	Weight and Inspection Coordinator
2837	Churn Driller Helper
541	Jar Capper
-1	Electrical Machinist
7886	Spray Gun Operator
8638	Boiler Repair Supervisor
1945	Speed Operator
4548	Dermatologist Physician
8431	Fruit Farmworker
-1	Sifting Operator
8052	Order Clerk
648	Cullet Washer
9374	Inorganic Chemistry Teacher
5956	Marine Engine Mechanic
-1	Time Piece Repairer
8450	Decorative Cutting Machine Tender
-1	Jewel Lathe Operator
1326	Ream Cutter
1341	Diamond Selector
-1	Licensed Engineer
-1	Fine Craft Artist
627	Thinner
-1	Collections Officer
-1	Medical Accountant
-1	Furnace Tapper
-1	Racing Board Marker
-1	Equipment Specialist
-1	Night Filler
-1	Ready Mix Truck Driver
-1	Heavy Equipment Operator (HEO)
818	Storer
-1	Word Processing Supervisor
-1	Branding Machine Operator
9465	Communication Studies Instructor
7613	Landscape Designer
9236	Print Operator
6506	Coffee Bar Attendant
7155	Weigher Operator
8329	Recreation Supervisor
6189	Power Line Installer
-1	Religious Supplies Sales Representative
4566	Data Reviewer
1035	Carbonizer
6965	Parking Lot Supervisor
-1	Steel Analyst
5757	Music Producer
-1	Package Delivery Driver
-1	Appliance Parts Counter Clerk
1473	Channel Worker
1740	Antenna Engineer
291	Carbon Brusher Assembler
6786	Animal Rehabilitator
-1	Core Fitter
3098	Metal Mockup Maker
-1	Clarinetist
4949	Licensed Alcohol and Drug Counselor (LADC)
1894	Sand Buffer
6251	Custom Dressmaker
3925	Ordnance Truck Installation Supervisor
6944	Barber or Beauty Shop Manager
4257	Drapery Worker
7610	Architecture Technician
3677	Bingo Checker
8065	Emergency Room Physician (ER Physician)
3432	Food and Drug Inspector
-1	Basting Puller
9430	Electrical Appliance Mechanic
9207	Industrial Maintenance Repairer
-1	Climate and Energy Program Associate
-1	Offensive Security Engineer
8525	Radiological Technologist
9008	Plunger Scoop Operator
-1	Cord Cutter
2182	Magnetometer Operator
8705	Photovoltaic Power Systems Engineer (PV Power Systems Engineer)
5626	Packager
9640	Marking Machine Operator
9184	Programming and Software Development Project Manager
-1	Orthopedic Manufacturing Technologist
-1	Crop Applicator
-1	Aircraft Shipping Checker
8705	Photovoltaic Power Systems Engineer
6633	Facsimile Machine Operator
-1	Printed Circuit Boards Coating Equipment Operator (PCB Coating Equipment Operator)
-1	Circus Agent
852	Collision Worker
-1	Automatic Blocker
